id,transliteration,translation
004a7dbd-57ce-46f8-9691-409be61c676e,KIŠIB ma-nu-ba-lúm-a-šur DUMU ṣí-lá-{d}IM KIŠIB šu-{d}EN.LÍL DUMU ma-nu-ki-a-šur KIŠIB MAN-a-šur DUMU a-ta-a 0.3333 ma-na 2 GÍN KÙ.BABBAR SIG₅ i-ṣé-er PUZUR₄-a-šur DUMU a-ta-a a-lá-ḫu-um i-šu iš-tù ḫa-muš-tim ša ì-lí-dan ITU.KAM ša ke-na-tim li-mu-um e-na-sú-in a-na ITU 14 ḫa-am-ša-tim i-ša-qal šu-ma lá iš-qú-ul 1.5 GÍN.TA a-na 1 ma-na-im i-na ITU.1.KAM ṣí-ib-tám ú-ṣa-áb,"Seal of Mannum-balum-Aššur son of Ṣilli-Adad, seal of Šu-Illil son of Mannum-kī-Aššur, seal of Puzur-Aššur son of Ataya. Puzur-Aššur son of Ataya owes 22 shekels of good silver to Ali-ahum. Reckoned from the week of Ilī-dan, month of Ša-kēnātim, in the eponymy of Enna-Suen, he will pay in 14 weeks. If he has not paid in time, he will add interest at the rate 1.5 shekel per mina per month."
0064939c-59b9-4448-a63d-34612af0a1b5,1 TÚG ša qá-tim i-tur₄-DINGIR il₅-qé,Itūr-ilī has received one textile of ordinary quality.
0073f2c0-524c-4bbf-915a-8c1772a4fb98,TÚG u-la i-dí-na-ku-um i-tù-ra-ma 9 GÍN KÙ.BABBAR,<gap> he did not give you a textile. He returned and 9 shekels of silver <gap>
009fb838-8038-42bc-ad34-5f795b3840ee,KIŠIB šu-{d}EN.LÍL DUMU šu-ku-bi-im KIŠIB ṣí-lu-lu DUMU ú-ku i-nu-mì i-dí-a-bu-um a-wa-sú iq-bi-ú 10 ma-na KÙ.BABBAR a-na ša-lim-a-šùr i-dí-in um-ma šu-ut-ma i-ṣí-ba-at KÙ-pì-a li-il₅-qé,"Seal of Šu-Illil son of Šu-Kūbum, seal of Ṣilūlu son of Uku. When Iddin-abum spoke his will, he gave 10 minas ofדsilver to Šalim-Aššur. He said: He may take it from the interest on my silver."""""
00aa1c55-c80c-4346-a159-73ad43ab0ff7,um-ma šu-ku-tum-ma a-na IŠTAR-lá-ma-sí ù ni-ta-aḫ-šu-šar qí-bi₄-ma mì-šu ša ta-áš-pu-ra-ni-ni um-ma a-tí-na-ma É-tum a-na lá be-tim i-tù-ar a-pu-tum a-na en-um-a-šùr i-<gap>-ni-ma e ší-na ga <gap> ša lá ta-ḫa-dì-ri a-na IŠTAR-lá-ma-sí qí-bi₄-ma šu-ma a-ḫa-tí a-ta li-ba-am dì-ni-ší-im lá ta-ḫa-da-ar a-na ni-ta-aḫ-šu-šar qí-bi₄-ma TÚG-pì-ri-kà-ni ša e-zi-bu na-pí-ší-šu-nu ù ṭup-pu-ú lu ša-ṣú-ru pì-ri-kà-nu ša ma-tí ù tí-bu-lá ma-a-<gap> iš-ta-ú-mu-ni a-dí en-um-a-šùr i-lá-kà-ni a ma-ma-an lá tù-šé-ri <gap> GÍN KÙ.BABBAR {d}UTU-tap-pá-i ub-lá-ki-im 1 GÍN KÙ.GI ù <gap> GÍN KÙ.BABBAR i-ku-pì-a ub-lá-ki-im,"From Šukkutum to Ištar-lamassī and Nitahšušar: Why is that you (fem. plur.) have written me, saying: The house is no longer a house."" Urgent, to Ennam-Aššur <gap> Do not fear!. To Ištar-lamassī: If you are truly my sister, then encourage her. Do not fear. To Nitahšušar: Air the -textiles that I left. Also, the tablets should be guarded. The which Mati? and Tibula <gap> have bought do not release (them) to anyone before Ennam-Aššur arrives. Šamaš-tappā'ī brought you <gap> shekels of silver. Ikūn-pīya brought you 1 shekel of gold and <gap> shekels of silver. """
00f0d841-eb7a-46f8-86fc-bf9fd7d52cbf,um-ma šu-ta-mu-zi e-lá-a en-um-a-šùr ù lá-ma-sí-ma a-na en-um-a-šùr ù a-lá-ḫi-im qí-bi₄-ma a-ma-la na-áš-pé-er-tí-ku-nu ra-bi-ṣa-am ni-ḫu-za-ku-nu-tí a-bi-a DUMU be-e-be ra-bi₄-iṣ-ni i-na ša-am-ší ša ra-bi-ṣú-um e-ra-ba-ni iḫ-da-ma i-zi-za-ma lu DAM.GÀR a-bi-ku-nu lu ša a-wa-tám tí-šu-a-ni ra-bi-ṣú-um i-na ša-ḫa-tí-ku-nu li-zi-iz-ma i-na KÙ.BABBAR pá-ni-ma a-šar ta-ma-ḫa-ra-ni KÙ.BABBAR ša É a-lim{ki} šu-ta-aṣ-bi-ta-ma ma-lá a-bu-ku-nu ḫa-bu-lu KÙ.BABBAR ku-un-kà-ma šé-bi-lá-nim ra-bi₄-ṣú-um iš-tí-ku-nu li-ik-nu-uk-ma KÙ.BABBAR šé-bi-lá-nim-ma li-ma-am lu nu-ša-bi ṣí-ba-at ṣí-ib-tim lá i-ma-i-da-ku-nu-tí-ma li-ba-ku-nu e im-ra-aṣ ma-lá e-ṭá-ar É a-bi₄-ku-nu ep-ša šu-ma ta-da-ga-lá-ma ṭup-pu ḫa-ru-mu-tum ú ba-ba-a-tum ru-qá-tum i-ba-ší-ú ṭup-pí ku-un-kà-ma a-na DUMU um-me-a-nim ke-nim ša ki-ma ku-nu-tí pí-iq-da-ma u₄-me-e-ku-nu ba-lu-um mì-ma-ma lá tù-ri-qá-ma lá ta-sà-ḫu-ra iš-tí ra,"From Šu-Tammuzī, Elaya, Ennam-Aššur and Lamassī to Ennam-Aššur and Ali-ahum: In accordance with your missive we have hired a attorney for you; Abiya son of Bebe is our attorney. Take care to stand by the very day the attorney arrives, and have the attorney assist you both with regard to the customers of your father and those with whom you have an argument, and of the first silver, wherever you receive it, collect the silver of the City Hall, as much as your father owes, seal the silver and send it; the attorney should seal it together with you, and then send the silver so we can satisfy the eponym. The compound interest should not grow too big for you and make you unhappy. Act so as to save your father's house. If you observe that there are certified deeds and credits outstanding on long terms, then seal the tablets, entrust them to a trustworthy affiliated trader, like yourselves, and do not extend your terms without special reasons, do not delay but set out and come together with the attorney. Here we seized (witnesses) against Šu-Kūbum and said: Did Šalim-Aššur give you 5 minas of silver out of those in your tablet?"" He refused to confirm to us the silver, what you will declare there. 0.6666 mina of silver: hire for the attorney; he received 0.3333 mina of silver here and will receive 0.3333 mina there. We gave 16.3333 shekels of silver for their disposal; 36.6666 shekels of silver, their expenses, we borrowed in a merchant-house against interest. Seal silver there and send it with the first transport so we can pay back the merchant. Also, send at least 1 or 2 minas of silver; send it so we can store 40 litres of grain before you come. Elaya says: If you are truly my brothers, you must seal the proceeds from the textile in silver and do me a favour. """
0123a9b9-e81e-4d7a-a79b-10e7c0aacbb9,KIŠIB a-lá-ḫi-im KIŠIB a-li-li KIŠIB a-bi₄-lá KIŠIB lá-qé-ep ša i-na ba-áb-tim ša a-šùr-be-el-ma-al-ki-im ša iš-ti DUMU a-tù-ri-a ù a-mur-a-šùr ḫi-na-a iṣ-bu-tù-ma a-na e-lá-ma ip-qí-du 2 ma-na 13.5 GÍN KÙ.BABBAR ṣa-ru-pá-am e-lá-ma a-na a-lá-ḫi-im ù a-li-li ip-qí-du KÙ.BABBAR a-na a-lá-ḫi-im a-li-li ù ḫi-na-a a ba-re-šu-nu i-lá-ak,"Seal of Ali-ahum, seal of Ali-ilī, seal of Abila, seal of Lā-qēp, that what hinnāya had seized as part of an outstanding claim of Aššur-bēl-malkim from Atūriya's son andfrom Amur-Aššur and had entrusted to Elamma - an amount of 2 minas 13.5 shekels of refined silver, which Elamma in turn had entrusted to Ali-ahum and Ali-ilī - that this silver will become the joint property / responsibility of Ali-ahum, Ali-ilī and hinnāya."
0126cd13-acf7-4cd5-8373-f1e7b54d824e,a-na É šál-ma-a-šùr a-na a-wa-tim né-ru-ub-ma um-ma šál-ma-a-šùr-ma i-a-tí a-na bu-ru-uš-ḫa-dim i-na ma-ak-sú-e-im a-na ḫu-bu-ul ÌR a-bu-ša-lim ša-qá-lim i-ra-de₈-ú-ni a-ta 30 TÚG ku-ta-ni ù ANŠE ṣa-lá-ma-am ša ÌR ta-lá-qé-e um-ma šu-be-lúm-ma ke-na ša ÌR-dí-a a-bu-ša-lim al-qé ša-lim-a-šur ša ni-iš a-lim{ki} úz-na-tí-ni il₅-pu-ut um-ma ša-lim-a-šur-ma a-šar ÌR a-na ÌR-dí-kà lá i-tù-ru-ú ma-a a-na ÌR-dí-a i-tù-wa-ar um-ma šu-be-lúm-ma šu-ma a-na ku-a-im i-tù-a-ar a-na TÚG.ḪI.A ù ANŠE.ḪI.A a-za-za-kum a-na a-wa-tim a-ni-a-tim kà-ru-um kà-ni-iš i-dí-ni-a-tí-ma IGI GÍR ša a-šùr ší-bu-tí-ni ni-dí-in IGI ú-ra-a IGI ì-lí-dan IGI ma-ni-um-ba-lúm-a-šùr,"We entered Šalim-Aššur's house to settle the case, and Šalim-Aššur said: While they are going to lead me personally to Burušhaddum in fetters to pay the debt of the slave Abu-šalim, will you on the other hand take 30 -textiles and a black donkey from the slave?""Šu-Bēlum answered: ""Yes, I have taken what belongs to my slave Abu-šalim."" Šalim-Aššur impressed on us what had been sworn by the City, and Šalim-Aššur said: ""In case the slave does not raise claim against your slave, then, will he raise claims against my slave?"" Šu-Bēlum answered: ""If he raises claim against yours, then I guarantee for the textiles and the donkey for you."" The Kanesh colony gave us for these proceedings, and we gave our testimony before Aššur's dagger. Witnessed by Uraya, by Ilī-dan, by Mannum-balum-Aššur."""
017c5be4-f459-4ef5-a045-5933e79c01f9,ṭup-pu-um ša 10 ma-na KÙ.BABBAR ša PÚZUR-a-šur ù PÚZUR-{d}IŠKUR ṭup-pu-um ša 4 ma-na KÙ.BABBAR ša PÚZUR-a-šur ṭup-pu-um ša 10 ma-na KÙ.BABBAR ša a-sà-nim ṭup-pu-um ša 10 ma-na KÙ.BABBAR ša al-pì-lí ṭup-pu-um ša 10 ma-na KÙ.BABBAR ša a-sà-nim ú PÚZUR-a-šur ṭup-pu-um ša 5 ma-na KÙ.BABBAR ša a-šùr-ṣú-lu-li ṭup-pu-um ša 17 ma-na 15 GÌN ša e-na-na-tim ṭup-pu-um ša ḫu-bu-ul a-bi-ni i-na ku-bu-ur-na-at al-qé-šu,"A tablet about 10 minas of silver of Puzur-Assur and Puzur-Adad; a tablet about 4 minas of silver of Puzur-Assur; a tablet about 10 minas of silver of Asanum; a tablet about 10 minas of silver of Alpili; a tablet about 10 minas of silver of Asanum and Puzur-Istar; a tablet about 5 minas of silver of Assur-sululi; a tablet about 17 minas and 15 shekels of silver of Ennanatum; a tablet about a debt of our father, I obtained it in Kuburnat."
01cc1406-fc42-4252-aeae-6b4538b069c5,17 GÍN KÙ.BABBAR ší-im e-ma-ri-im 30 ma-na URUDU IŠTAR-pí-lá-aḫ a-na ar-be-e-šu <gap> ù-kà-pu-ú ša-pì-ú-tim 9 ma-na URUDU SIG₅ i ší-im sú-ub-ri-im 1 ma-na URUDU ší-kam iš-tí DUMU IŠTAR-ba-ni 2 kà-ar-pát kà-mu-nu mì-ma a-nim i-na du-ur-ḫu-mì-it i-ba-ší 10 pí-ri-kà-nu 1 GÚ SÍG.ḪI.A 2 ú-kà-pé-e 80 lu-ur-ma-tum 10 ma-na Ì.GIŠ sà-ar-dam sà-áp-tí-nam ni-ib-ra-ra-am 2 ší-it-re-e ša za-al-pá 2 e-ma-re ú ù-nu-sú-nu mì-ma a-nim a-na a-šùr-i-mì-tí a-dí-in,"17 shekels of silver, the price of a donkey, 30 minas of copper of Istar-pilah, 4 sets of thick saddlecloths, 9 minas of refined copper from the price of a slave, 1 mina of sikku-copper with the son of Istar-bani, 2 jars of cumin — all this is available in Durhumit. 10 pirikannu-textiles, 1 talent of wool, 2 saddle-rugs, 80 pomegranates, 10 minas of olive oil, a saptinnu- and a nibraru-textile, 2 scarfs from Zalpa, 2 donkeys with their harness — all this I gave to Assur-imitti."
